program,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Biomedical Engineering,Software Development,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Software Development,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Biomedical Engineering,Manufacturing,The Automobile,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Machinery
Biomedical Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Manufacturing,The Robot,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Software Development,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Biomedical Engineering,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Software Development,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Research,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Manufacturing,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,The Robot,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Software Development,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers
Biomedical Engineering,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Biomedical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Biomedical Engineering,Manufacturing,The Automobile,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers
Chemical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Solar Panels,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Research,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Construction,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Machinery
Chemical Engineering,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Chemical Engineering,Research,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Machinery
Chemical Engineering,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers
Chemical Engineering,Research,The Internet,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Research,Solar Panels,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Chemical Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Research,The Automobile,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Machinery
Chemical Engineering,Manufacturing,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Machinery
Chemical Engineering,Research,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Finance,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Chemical Engineering,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Solar Panels,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Chemical Engineering,Manufacturing,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Machinery
Chemical Engineering,Manufacturing,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Chemical Engineering,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,People
Chemical Engineering,Manufacturing,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Machinery
Chemical Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Chemical Engineering,Manufacturing,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Civil Engineering,Manufacturing,The CN Tower,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Manufacturing,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,People
Civil Engineering,Construction,The Automobile,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Civil Engineering,Construction,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Machinery
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Civil Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
